,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Totall,TO
1970-01-01 00:00:00.000018582,36,29,40,7,0,0,11,2,5,9,4,0,5,0,0,6,1,0,3,0,0,0,2,2,15,0,89,333,17,41,19,0.0,362940700.0
1970-01-01 00:00:00.000018583,8,0,14,2,0,4,75,3,12,0,0,0,1,1,0,29,7,5,70,55,5,1,0,78,8,0,13,35,0,0,56,0.0,8014204.0
1970-01-01 00:00:00.000018584,0,0,5,2,0,13,2,8,0,19,0,3,0,0,8,45,12,4,16,2,0,44,30,58,0,0,0,4,20,3,0,0.0,52013.0
1970-01-01 00:00:00.000018585,0,0,7,1,18,8,23,7,7,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71188.0
1970-01-01 00:00:00.000018586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000018587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000018996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000018997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000018998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000018999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,11,0,10,0,0,0.0,0.0
1970-01-01 00:00:00.000019000,0,0,27,0,0,2,0,3,0,0,0,0,0,0,29,0,2,0,0,0,70,12,1,0,0,19,1,9,2,0,0,0.0,27002.0
1970-01-01 00:00:00.000019001,28,0,10,21,49,45,0,0,0,0,0,0,3,0,0,8,0,35,1,0,4,0,0,0,0,3,28,11,50,12,0,0.0,28010214945.0
1970-01-01 00:00:00.000019002,0,1,19,3,0,16,1,0,6,0,13,2,1,30,1,1,0,0,0,0,0,0,8,0,16,11,0,0,9,20,9,0.0,1193016.0
1970-01-01 00:00:00.000019003,14,23,0,0,31,0,2,0,6,0,5,82,1,1,20,6,3,0,0,65,2,9,0,0,21,34,3,5,0,0,7,0.0,142300310.0
1970-01-01 00:00:00.000019004,1,2,0,3,0,0,13,1,1,1,2,0,4,1,31,1,24,2,5,6,0,0,2,0,15,29,7,0,18,0,0,0.0,120300.0
1970-01-01 00:00:00.000019005,5,0,0,0,0,1,20,27,87,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0.0,500001.0
1970-01-01 00:00:00.000019006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000019007,0,0,0,0,0,0,0,0,20,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000019416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000019417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000019418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,1,0,0,4,0.0,0.0
1970-01-01 00:00:00.000019419,11,0,49,8,5,0,0,0,0,0,0,0,0,0,9,0,9,0,0,5,0,5,0,0,0,0,1,0,21,0,0,0.0,11049850.0
1970-01-01 00:00:00.000019420,0,5,0,0,3,23,10,0,0,20,17,25,0,14,0,0,1,1,15,3,0,24,11,17,3,13,0,10,3,17,0,0.0,500323.0
1970-01-01 00:00:00.000019421,46,0,13,11,0,0,0,0,0,0,9,40,0,1,0,3,13,15,56,0,7,0,0,0,11,2,23,17,19,28,0,0.0,460131100.0
1970-01-01 00:00:00.000019422,35,34,7,0,0,1,1,33,7,0,0,7,9,1,21,1,0,25,21,84,23,32,14,0,0,0,0,0,0,0,0,0.0,35347001.0
1970-01-01 00:00:00.000019423,0,0,7,5,2,26,22,9,79,94,15,7,0,11,0,0,32,28,0,5,1,3,12,9,37,3,2,0,0,0,0,0.0,75226.0
1970-01-01 00:00:00.000019424,1,5,9,0,1,4,0,25,3,1,0,0,0,1,18,36,17,1,10,5,13,0,0,0,11,1,26,19,0,0,0,0.0,159014.0
1970-01-01 00:00:00.000019425,0,40,1,0,0,0,0,0,27,13,5,0,0,0,0,0,0,0,6,2,0,7,11,0,0,0,0,0,0,0,0,0.0,401000.0
1970-01-01 00:00:00.000019426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000019427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000019836,0,0,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000.0
1970-01-01 00:00:00.000019837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
1970-01-01 00:00:00.000019838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100000.0
1970-01-01 00:00:00.000019839,0,0,0,0,0,0,62,9,18,9,0,0,40,0,0,11,0,0,52,0,8,29,0,0,0,31,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000019840,0,53,13,16,6,0,0,0,0,0,0,0,1,0,0,1,10,4,1,1,1,0,0,0,4,0,0,0,2,0,24,0.0,53131660.0
1970-01-01 00:00:00.000019841,3,0,1,0,8,56,0,2,0,0,0,0,0,0,0,0,9,17,42,2,6,0,0,8,7,10,0,0,0,4,0,0.0,3010856.0
1970-01-01 00:00:00.000019842,17,7,2,18,29,2,4,0,1,10,1,4,16,6,14,0,0,51,2,2,1,5,5,0,0,0,9,1,18,1,0,0.0,177218292.0
1970-01-01 00:00:00.000019843,11,1,0,9,1,2,6,26,16,0,0,2,54,13,2,0,7,0,1,8,34,40,0,2,24,0,0,21,1,1,0,0.0,1110912.0
1970-01-01 00:00:00.000019844,0,0,1,0,3,23,0,0,0,10,0,1,4,12,2,0,5,8,0,0,0,0,0,0,0,0,0,8,0,4,0,0.0,10323.0
1970-01-01 00:00:00.000019845,0,0,0,2,13,0,0,0,0,2,7,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2130.0
